,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
0,Tasiilaq,GL,1538869800,65.61,-37.64,37.4,88,51,34.45
1,Puerto Ayora,EC,1538870400,-0.74,-90.35,73.4,0,69,16.11
2,Kapaa,US,1538870160,22.08,-159.32,84.92,75,65,6.93
3,Hilo,US,1538870160,19.71,-155.08,82.94,1,67,9.17
4,Yellowknife,CA,1538870400,62.45,-114.38,28.4,75,63,12.75
5,Zhangye,CN,1538872397,38.94,100.46,26.96,0,70,4.5
6,Faya,SA,1538870400,18.39,42.45,62.6,0,26,4.83
7,Ushuaia,AR,1538870400,-54.81,-68.31,48.2,75,45,11.41
8,Saint-Pierre,FR,1538870400,48.95,4.24,59.0,0,93,8.05
9,Punta Arenas,CL,1538870400,-53.16,-70.91,44.6,75,70,24.16
10,Londonderry,US,1538871360,42.87,-71.37,60.08,90,80,5.82
11,New Norfolk,AU,1538870400,-42.78,147.06,60.8,20,55,3.36
12,Cherskiy,RU,1538872616,68.75,161.3,35.78,92,87,5.84
13,Atuona,PF,1538872335,-9.8,-139.03,78.89,20,100,8.52
14,Mahebourg,MU,1538866800,-20.41,57.7,69.8,20,88,5.82
15,Lavrentiya,RU,1538872625,65.58,-170.99,45.23,92,90,16.69
16,Itatiaia,BR,1538872628,-22.5,-44.56,60.08,92,100,1.59
17,Lasem,ID,1538866800,-6.99,112.52,73.4,0,94,3.36
18,Maragogi,BR,1538872635,-9.01,-35.22,75.47,92,87,6.85
19,Bluff,AU,1538872383,-23.58,149.07,79.07,0,55,6.96
20,Spearfish,US,1538871300,44.49,-103.86,50.0,90,57,13.87
21,Busselton,AU,1538872372,-33.64,115.35,57.83,48,100,16.91
22,Albany,US,1538870820,42.65,-73.75,62.96,90,90,14.99
23,Bredasdorp,ZA,1538870400,-34.53,20.04,66.2,92,82,12.75
24,Lagoa,PT,1538870400,37.14,-8.45,69.8,0,68,3.36
25,Cidreira,BR,1538872467,-30.17,-50.22,60.8,8,78,16.24
26,Alice Springs,AU,1538870400,-23.7,133.88,87.8,0,14,9.17
27,Kodiak,US,1538869980,39.95,-94.76,50.0,90,100,9.17
28,Chapais,CA,1538870400,49.78,-74.86,33.8,90,100,3.71
29,Eureka,US,1538870100,40.8,-124.16,60.98,1,69,16.11
30,Nikolskoye,RU,1538870400,59.7,30.79,46.4,40,87,4.47
31,Labuhan,ID,1538872679,-2.54,115.51,75.2,64,95,1.25
32,Sept-Iles,CA,1538870400,50.2,-66.38,35.6,90,67,3.36
33,Spornoye,RU,1538870400,50.84,37.29,46.4,0,70,8.95
34,Marsh Harbour,BS,1538872513,26.54,-77.06,81.86,36,100,16.46
35,Mataura,NZ,1538872691,-46.19,168.86,47.93,64,100,10.54
36,Shakawe,BW,1538872694,-18.36,21.84,64.31,0,33,8.75
37,Hobart,AU,1538870400,-42.88,147.33,60.8,20,55,3.36
38,Kindu,CD,1538872701,-2.95,25.92,71.33,64,96,2.37
39,Rikitea,PF,1538872704,-23.12,-134.97,70.07,92,100,19.48
40,Saint George,GR,1538869800,39.45,22.34,53.6,20,87,3.36
41,Georgetown,GY,1538866800,6.8,-58.16,80.6,0,83,6.93
42,Tilichiki,RU,1538872714,60.47,166.1,48.02,8,71,11.43
43,Nelson Bay,AU,1538870400,-32.72,152.14,62.6,90,67,11.41
44,Rumphi,MW,1538872721,-11.02,33.86,53.6,0,91,3.15
45,Urucara,BR,1538872724,-2.54,-57.76,84.47,8,69,2.37
46,Lompoc,US,1538870160,34.64,-120.46,71.06,20,72,19.46
47,Jamestown,AU,1538872719,-33.21,138.6,72.95,20,34,10.2
48,Saint-Philippe,CA,1538872500,45.36,-73.48,61.7,90,88,9.17
49,Oranjestad,AW,1538870400,12.52,-70.03,84.2,20,79,11.41
50,Touros,BR,1538872740,-5.2,-35.46,77.81,92,88,15.35
51,Mogadishu,SO,1538872743,2.04,45.34,78.62,80,99,16.69
52,Turka,UA,1538872746,49.16,23.03,54.95,0,62,8.08
53,Klaksvik,FO,1538871600,62.23,-6.59,42.8,92,87,17.22
54,Kahului,US,1538870160,20.89,-156.47,91.04,40,55,21.92
55,Solnechnyy,RU,1538872756,50.72,136.64,46.58,80,71,3.83
56,Cayenne,GF,1538870400,4.94,-52.33,77.0,0,100,3.36
57,Port Alfred,ZA,1538872762,-33.59,26.89,67.73,88,93,12.21
58,Guatire,VE,1538872768,10.47,-66.54,75.38,36,90,2.04
59,Saldanha,PT,1538872771,41.42,-6.55,45.5,0,71,7.4
60,Tyukalinsk,RU,1538872775,55.87,72.2,46.22,20,70,11.99
61,Bulolo,PG,1538872778,-7.2,146.64,70.61,36,81,2.04
62,Vaini,IN,1538872781,15.34,74.49,71.24,36,88,4.94
63,Ponta do Sol,BR,1538872743,-20.63,-46.0,64.22,92,99,4.16
64,East London,ZA,1538872787,-33.02,27.91,69.08,68,100,16.58
65,Nanortalik,GL,1538872790,60.14,-45.24,37.58,92,98,15.01
66,Port Lincoln,AU,1538872794,-34.72,135.86,63.23,36,85,7.63
67,Berlevag,NO,1538872797,70.86,29.09,34.88,36,100,12.1
68,Isangel,VU,1538872800,-19.55,169.27,74.3,0,100,9.19
69,Bull Savanna,JM,1538872803,17.89,-77.59,74.03,92,92,3.27
70,Kimbe,PG,1538872812,-5.56,150.15,82.22,8,98,8.97
71,Salalah,OM,1538869800,17.01,54.1,71.6,0,60,2.24
72,Deputatskiy,RU,1538872819,69.3,139.9,17.96,56,92,3.6
73,Along,IN,1538872822,28.17,94.8,61.25,36,69,2.37
74,Tuatapere,NZ,1538872756,-46.13,167.69,47.48,68,100,10.31
75,Dawlatabad,AF,1538872831,36.41,64.91,55.58,88,82,8.3
76,Vila Franca do Campo,PT,1538870400,37.72,-25.43,69.8,20,88,10.29
77,Nome,US,1538871300,30.04,-94.42,82.04,1,85,3.36
78,Upernavik,GL,1538872844,72.79,-56.15,31.55,92,100,13.33
79,Severo-Kurilsk,RU,1538872850,50.68,156.12,47.57,56,88,16.02
80,Lebu,ET,1538872853,8.96,38.73,48.47,0,54,4.94
81,Barguzin,RU,1538872856,53.62,109.63,19.58,48,84,0.58
82,Mao,DO,1538870400,19.55,-71.08,73.4,90,100,6.93
83,Hambantota,LK,1538872863,6.12,81.12,78.98,68,100,7.4
84,Zhigansk,RU,1538872869,66.77,123.37,25.79,56,94,6.62
85,Rome,IT,1538870100,41.89,12.48,66.2,75,100,10.29
86,Fukue,JP,1538870400,35.03,136.69,75.2,75,78,16.11
87,Hermanus,ZA,1538872878,-34.42,19.24,56.66,12,93,6.62
88,Namtsy,RU,1538872881,62.72,129.66,25.79,0,80,3.15
89,Reina Mercedes,PH,1538872884,16.98,121.83,73.58,76,100,2.71
90,Celestun,MX,1538872888,20.87,-90.4,84.2,32,94,21.5
91,Coihaique,CL,1538870400,-45.58,-72.07,46.4,75,70,2.24
92,Nahrin,AF,1538872897,36.06,69.13,41.0,0,80,2.26
93,Esso,RU,1538872900,55.93,158.7,34.43,64,72,4.61
94,Faanui,PF,1538872719,-16.48,-151.75,79.52,0,100,10.76
95,Fort Nelson,CA,1538870400,58.81,-122.69,32.0,75,63,8.05
96,Lorengau,PG,1538872768,-2.02,147.27,80.6,80,100,7.18
97,Lata,IN,1538872919,30.78,78.62,42.44,0,80,2.59
98,Airai,TL,1538872922,-8.93,125.41,81.5,0,31,2.26
99,Brigantine,US,1538871660,39.41,-74.36,71.06,90,86,5.82
100,Riyadh,SA,1538870400,24.63,46.72,75.2,0,16,3.15
101,Sur,OM,1538872931,22.57,59.53,83.12,0,92,3.71
102,Kihei,US,1538870160,20.76,-156.45,91.04,40,55,21.92
103,Yabelo,ET,1538872938,4.89,38.09,58.91,0,91,3.71
104,Apiai,BR,1538872941,-24.51,-48.84,58.01,92,94,2.37
105,Zabol,IR,1538870400,31.03,61.49,64.4,36,52,38.03
106,Monrovia,LR,1538870400,6.33,-10.8,77.0,75,94,3.36
107,Longyearbyen,NO,1538869800,78.22,15.63,24.8,75,85,3.36
108,Geraldton,CA,1538870400,49.72,-86.95,32.0,20,91,5.82
109,La Crosse,US,1538872500,43.8,-91.24,48.92,90,89,4.7
110,Harnosand,SE,1538871600,62.63,17.94,32.0,0,100,1.12
111,Baymak,RU,1538872969,52.6,58.31,31.37,36,86,9.64
112,Suileng,CN,1538872972,47.25,127.08,39.38,0,84,4.38
113,Torbay,CA,1538870400,47.66,-52.73,41.0,5,80,5.82
114,Sola,NO,1538871600,58.89,5.65,42.8,75,81,3.36
115,Diapaga,BF,1538872985,12.07,1.79,72.95,0,88,3.04
116,Bethel,US,1538869980,60.79,-161.76,53.06,90,79,8.05
117,Iqaluit,CA,1538870400,63.75,-68.52,26.6,90,68,21.92
118,Naze,NG,1538872995,5.43,7.07,75.29,88,96,4.5
119,Butaritari,KI,1538872998,3.07,172.79,84.2,20,100,5.61
120,Qaanaaq,GL,1538872791,77.48,-69.36,15.89,12,100,11.77
121,Arraial do Cabo,BR,1538872745,-22.97,-42.02,67.28,92,100,15.79
122,Christchurch,NZ,1538870400,-43.53,172.64,59.0,0,62,3.36
123,Avarua,CK,1538873010,-21.21,-159.78,74.48,0,100,8.3
124,Grand Gaube,MU,1538866800,-20.01,57.66,69.8,20,88,5.82
125,Port Blair,IN,1538873017,11.67,92.75,81.23,76,100,17.36
126,Wanning,AT,1538871600,48.64,13.53,53.6,90,87,3.36
127,Saskylakh,RU,1538872751,71.97,114.09,36.86,92,94,4.61
128,Thompson,CA,1538870400,55.74,-97.86,32.0,90,95,10.29
129,Tautira,PF,1538870400,-17.73,-149.15,82.4,75,61,9.17
130,Durango,US,1538869980,37.28,-107.88,68.0,40,39,3.36
131,Mar del Plata,AR,1538872947,-46.43,-67.52,61.43,36,38,16.24
132,Flinders,AU,1538872200,-34.58,150.85,57.2,90,100,16.11
133,Kathu,ZA,1538873048,-27.7,23.05,51.98,0,53,3.6
134,Kaitangata,NZ,1538872765,-46.28,169.85,47.93,88,100,12.33
135,Sandakan,MY,1538870400,5.84,118.12,84.2,75,83,3.36
136,Mount Gambier,AU,1538872826,-37.83,140.78,63.59,92,87,2.37
137,Chuy,UY,1538873060,-33.69,-53.46,52.88,36,88,11.1
138,Chokurdakh,RU,1538873064,70.62,147.9,30.02,80,94,6.4
139,Clyde River,CA,1538871060,70.47,-68.59,28.4,90,92,32.21
140,Sajanan,TN,1538870400,37.06,9.24,62.6,56,93,4.7
141,Saint-Augustin,FR,1538872200,44.83,-0.61,55.4,75,93,10.29
142,Kavaratti,IN,1538873079,10.57,72.64,80.24,56,100,4.61
143,Sattahip,TH,1538872200,12.67,100.9,78.8,20,88,2.24
144,Lengshuijiang,CN,1538873086,27.66,111.45,59.63,8,69,2.71
145,Pevek,RU,1538873089,69.7,170.27,37.22,68,100,0.69
146,Slave Lake,CA,1538870400,55.28,-114.77,37.4,90,86,2.24
147,Carnarvon,ZA,1538873095,-30.97,22.13,47.75,0,21,3.71
148,Kamenka,RU,1538873099,53.19,44.05,48.56,8,90,14.34
149,Teya,MX,1538869440,21.05,-89.07,82.4,75,78,16.11
150,Natal,BR,1538870400,-5.81,-35.21,80.6,40,74,13.87
151,Karachi,PK,1538870100,24.87,67.03,73.4,0,60,10.42
152,Okha,RU,1538873111,53.59,142.95,47.93,0,74,10.2
153,Viesca,MX,1538869680,25.34,-102.81,87.8,75,35,3.6
154,Cape Town,ZA,1538870400,-33.93,18.42,64.4,0,77,17.22
155,Ucluelet,CA,1538870400,48.94,-125.55,53.6,90,81,2.24
156,Sinnar,IN,1538873124,19.85,74.0,66.02,20,88,3.71
157,Balkhash,KZ,1538873127,46.84,74.98,48.2,0,100,2.93
158,Te Anau,NZ,1538873130,-45.41,167.72,47.3,56,95,2.93
159,Castro,CL,1538873133,-42.48,-73.76,47.03,92,89,9.42
160,Brae,GB,1538871600,60.4,-1.35,46.4,56,80,12.75
161,Cockburn Town,TC,1538873113,21.46,-71.14,79.34,56,100,16.58
162,Horni Benesov,CZ,1538872200,49.97,17.6,55.4,0,71,8.05
163,Norman Wells,CA,1538870400,65.28,-126.83,28.4,75,68,11.41
164,Khani,GE,1538870400,41.96,42.96,62.6,0,45,29.97
165,Zatyshshya,UA,1538873152,47.33,29.87,44.6,0,89,6.17
166,Hasaki,JP,1538870400,35.73,140.83,82.4,20,69,16.11
167,Los Llanos de Aridane,ES,1538872200,28.66,-17.92,73.4,12,83,9.17
168,Srandakan,ID,1538873162,-7.94,110.25,73.94,24,87,3.49
169,Bambous Virieux,MU,1538873165,-20.34,57.76,68.09,0,95,5.73
170,Hualmay,PE,1538873168,-11.1,-77.61,62.96,24,84,4.27
171,Sao Francisco,BR,1538871600,-25.65,-53.85,66.2,75,93,11.41
172,Pskov,RU,1538870400,57.82,28.33,42.8,44,100,2.24
173,Sao Filipe,CV,1538873178,14.9,-24.5,80.42,0,94,8.63
174,Matata,NZ,1538873181,-37.89,176.76,58.28,24,100,8.41
175,Yulara,AU,1538870400,-25.24,130.99,86.0,8,30,5.82
176,Kendari,ID,1538873187,-3.99,122.52,79.88,48,79,2.82
177,Batagay,RU,1538873194,67.65,134.64,24.17,76,80,4.83
178,Khatanga,RU,1538873197,71.98,102.47,33.8,92,95,3.38
179,Egvekinot,RU,1538873200,66.32,-179.17,38.57,92,98,5.61
180,Taguatinga,BR,1538870400,-15.83,-48.06,69.8,0,94,4.7
181,Noormarkku,FI,1538871600,61.59,21.87,35.6,0,93,7.63
182,Tekeli,KZ,1538873209,44.86,78.76,40.1,44,74,2.37
183,Gazojak,TM,1538873219,41.19,61.4,42.08,0,94,3.04
184,Ellenabad,IN,1538873222,29.45,74.66,65.66,0,58,2.71
185,Lincoln,GB,1538871600,53.23,-0.54,42.8,0,87,8.05
186,Ancud,CL,1538873232,-41.87,-73.83,48.02,92,84,7.18
187,Aklavik,CA,1538870400,68.22,-135.01,28.4,20,58,10.29
188,Freeport,BS,1538873238,26.54,-78.7,83.48,12,91,16.24
189,Lithakia,GR,1538871600,37.72,20.83,59.0,0,93,4.16
190,Malinovoye Ozero,RU,1538873247,51.68,79.77,44.42,0,57,8.52
191,Mount Isa,AU,1538872200,-20.73,139.49,89.6,0,15,9.17
192,Codrington,AU,1538873254,-28.95,153.24,66.38,24,88,3.49
193,Vao,EE,1538873257,59.1,26.19,44.69,92,90,4.16
194,Dingle,PH,1538873001,11.0,122.67,79.79,12,95,6.17
195,Amahai,ID,1538873266,-3.31,129.0,80.15,36,100,6.4
196,Marfino,RU,1538870400,56.07,37.56,48.2,0,87,13.42
197,Ola,RU,1538870400,59.58,151.3,41.0,20,41,11.18
198,Sorland,NO,1538868000,67.67,12.69,39.2,75,100,8.05
199,Pangnirtung,CA,1538873279,66.15,-65.72,20.12,12,89,11.21
200,Kodinsk,RU,1538873264,58.6,99.18,27.86,0,82,2.37
201,Aykhal,RU,1538873288,65.95,111.51,33.08,88,95,8.52
202,Peniche,PT,1538872200,39.36,-9.38,59.0,0,82,10.29
203,Chernyshevskiy,RU,1538873295,63.01,112.47,24.62,24,86,5.06
204,Kavieng,PG,1538873298,-2.57,150.8,84.65,64,100,9.64
205,Nizhnyaya Tavda,RU,1538873019,57.67,66.17,42.8,92,96,17.47
206,Byron Bay,AU,1538872200,-28.65,153.62,71.6,75,60,12.75
207,Brownsville,US,1538869980,25.91,-97.49,86.0,1,65,12.75
208,Rio Gallegos,AR,1538870400,-51.62,-69.22,50.0,0,39,12.75
209,Matara,PE,1538873314,-13.74,-72.9,46.13,0,70,1.92
210,Plettenberg Bay,ZA,1538873317,-34.05,23.37,63.5,76,100,13.56
211,Hithadhoo,MV,1538873237,-0.6,73.08,82.04,56,100,19.6
212,Binzhou,CN,1538873323,37.38,117.96,60.44,56,51,3.6
213,Atar,MR,1538873330,20.52,-13.05,82.13,0,29,4.72
214,Inuvik,CA,1538870400,68.36,-133.71,28.4,20,58,10.29
215,Kenai,US,1538870160,60.55,-151.26,55.04,90,63,6.73
216,Pacific Grove,US,1538872500,36.62,-121.92,71.96,1,56,11.41
217,Mackenzie,CA,1538870400,55.34,-123.09,51.8,75,43,4.7
218,Saint Anthony,US,1538871600,43.97,-111.68,46.94,90,73,3.36
219,Kunyang,CN,1538873352,27.66,120.56,68.81,0,100,5.95
220,Sao Jose da Coroa Grande,BR,1538873254,-8.9,-35.15,75.47,92,87,6.85
221,Caucaia,BR,1538870400,-3.73,-38.66,80.6,0,74,5.82
222,Huarmey,PE,1538873364,-10.07,-78.15,64.04,24,71,3.15
223,Westport,IE,1538873367,53.8,-9.52,44.69,44,96,12.66
224,Waiouru,NZ,1538873374,-39.48,175.67,54.77,24,79,9.42
225,Dale,CN,1538873377,24.09,109.99,67.28,0,71,2.82
226,Osoyoos,CA,1538870400,49.03,-119.47,64.04,20,54,12.75
227,Dakar,SN,1538870400,14.69,-17.45,82.4,20,88,7.74
228,Barrow,AR,1538873386,-38.31,-60.23,67.55,0,46,18.25
229,Talara,PE,1538873393,-4.58,-81.27,70.43,8,73,7.52
230,Cortland,US,1538871000,42.6,-76.18,71.06,75,93,11.41
231,Tuktoyaktuk,CA,1538870400,69.44,-133.03,24.8,5,68,13.87
232,Mogok,MM,1538873418,22.92,96.51,64.76,92,99,1.36
233,Mbuyapey,PY,1538873421,-26.22,-56.76,66.11,92,81,4.94
234,Buraydah,SA,1538870400,26.33,43.97,75.2,0,31,2.24
235,Comodoro Rivadavia,AR,1538870400,-45.87,-67.48,62.6,0,33,14.99
236,Sindor,RU,1538873430,62.87,51.9,36.05,76,97,4.72
237,Tecoanapa,MX,1538869380,16.99,-99.26,86.0,75,74,5.82
238,Karasjok,NO,1538871600,69.47,25.52,28.4,20,86,21.92
239,Maryville,US,1538872500,40.35,-94.87,50.0,90,93,9.17
240,Assiniboia,CA,1538873452,49.63,-105.99,43.43,76,73,5.17
241,Oktyabrskoye,RU,1538873455,56.73,85.44,37.13,0,84,4.38
242,Tornio,FI,1538871600,61.12,27.27,41.0,0,93,3.36
243,Mecca,SA,1538873462,21.43,39.83,69.35,0,72,2.59
244,Tocopilla,CL,1538873465,-22.09,-70.2,62.96,76,88,3.38
245,Fortuna,ES,1538872200,38.18,-1.13,66.2,0,88,2.24
246,Owando,CG,1538873471,-0.49,15.91,70.7,88,97,2.15
247,Portland,US,1538870160,45.52,-122.67,62.96,40,53,11.41
248,General Pico,AR,1538873477,-35.66,-63.75,71.42,0,41,16.13
249,Half Moon Bay,US,1538870160,37.46,-122.43,80.96,20,61,26.4
250,Dalby,AU,1538870400,-27.18,151.26,68.0,75,64,10.29
251,Honiara,SB,1538870400,-9.43,159.96,82.4,75,78,9.17
252,Tual,ID,1538873490,-5.67,132.75,80.15,0,99,7.29
253,Sitka,US,1538873493,37.17,-99.65,48.56,92,100,7.4
254,Port Macquarie,AU,1538870400,-31.43,152.91,66.2,40,63,11.41
255,Milan,IT,1538871600,45.47,9.19,59.0,20,100,3.36
256,Yenagoa,NG,1538873512,4.92,6.26,75.02,92,95,3.27
257,New Ulm,US,1538871300,44.31,-94.46,44.78,90,65,5.82
258,Fairbanks,US,1538870280,64.84,-147.72,50.0,90,10,3.36
259,Alberton,ZA,1538870400,-26.25,28.13,62.6,0,36,2.71
260,Imbituba,BR,1538870400,-28.24,-48.67,62.6,75,82,2.24
261,Marienburg,DE,1538871600,52.12,9.98,57.2,0,87,8.05
262,Hovd,NO,1538871600,63.83,10.7,39.2,40,100,3.36
263,Kruisfontein,ZA,1538873544,-34.0,24.73,63.95,76,97,11.32
264,Bambanglipuro,ID,1538873547,-7.95,110.28,73.94,24,87,3.49
265,Agucadoura,PT,1538872200,41.43,-8.78,55.4,0,71,11.41
266,Noumea,NC,1538872200,-22.28,166.46,78.8,0,54,9.17
267,Sinnamary,GF,1538873279,5.38,-52.96,81.68,0,94,10.09
268,Ixtapa,MX,1538871180,20.71,-105.21,86.0,90,79,5.82
269,Jamai,IN,1538873567,22.2,78.55,62.96,0,84,2.48
270,Teeswater,CA,1538873570,44.0,-81.29,61.25,88,100,11.21
