,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
271,Rio Grande,BR,1538873574,-32.03,-52.1,59.27,0,91,13.78
272,Adrar,DZ,1538870400,27.87,-0.29,73.4,0,49,4.7
273,Katete,UG,1538873580,-0.78,29.75,61.34,20,89,2.15
274,Sobolevo,RU,1538873584,54.43,31.9,45.86,0,82,12.44
275,Jenbach,AT,1538871600,47.39,11.77,55.4,75,76,2.24
276,Newport,GB,1538871600,51.59,-3.0,44.6,0,93,9.17
277,San Juan,PH,1538870400,14.6,121.03,84.2,40,89,3.94
278,Aksu,KZ,1538870400,52.04,76.93,37.4,20,68,6.71
279,Talaya,RU,1538873604,55.79,84.89,37.76,0,72,6.17
280,Ambulu,ID,1538873607,-8.35,113.61,75.65,64,97,3.38
281,Bouloupari,NC,1538872200,-21.87,166.05,78.8,0,54,9.17
282,Oksfjord,NO,1538871600,70.24,22.35,35.6,92,93,19.46
283,Komsomolskiy,RU,1538873616,67.55,63.78,34.52,80,100,5.28
284,San Juan del Rio,MX,1538869200,20.39,-99.99,73.4,75,46,8.05
285,Luanda,AO,1538870400,-8.83,13.24,75.2,75,83,10.29
286,Toba,JP,1538870400,34.47,136.83,75.2,75,78,16.11
287,Esmeraldas,BR,1538870400,-19.76,-44.31,68.0,0,77,14.99
288,Sungaipenuh,ID,1538873660,-2.08,101.38,65.84,48,90,1.14
289,Ribeira Grande,PT,1538873663,38.52,-28.7,72.14,56,99,19.6
290,Avera,US,1538872500,33.19,-82.53,82.94,1,73,3.36
291,Khuzdar,PK,1538873669,27.8,66.62,53.42,0,44,2.37
292,Vanavara,RU,1538873672,60.35,102.28,29.93,12,89,4.05
293,Provideniya,RU,1538873675,64.42,-173.23,45.95,92,99,20.83
294,Bowen,AU,1538870400,-20.01,148.25,80.6,75,57,8.05
295,Vacaria,BR,1538873682,-28.51,-50.94,57.02,12,80,9.31
296,Rincon,US,1538872500,32.3,-81.24,78.98,40,82,4.61
297,Manjakandriana,MG,1538872200,-18.92,47.81,57.2,40,93,5.82
298,Mineros,BO,1538870400,-17.12,-63.23,77.0,12,65,5.82
299,Riachao das Neves,BR,1538873694,-11.75,-44.91,78.26,12,46,5.06
300,Porto Novo,BR,1538870400,-23.68,-45.44,60.8,75,100,3.36
301,Quatre Cocos,MU,1538873701,-20.21,57.76,68.09,0,95,5.73
302,Alofi,NU,1538870400,-19.06,-169.92,80.6,56,74,6.93
303,Tateyama,JP,1538871060,36.66,137.31,69.8,75,88,9.17
304,Kurumoch,RU,1538870400,53.49,50.04,46.4,75,87,11.18
305,Saint-Joseph,FR,1538872200,43.56,6.97,64.4,20,93,2.24
306,Ruston,US,1538871300,32.52,-92.64,76.28,1,95,5.39
307,Coahuayana,MX,1538873723,18.62,-100.35,74.21,32,77,1.7
308,Kidal,ML,1538873726,18.44,1.41,79.43,0,22,11.21
309,Mackay,CA,1538870400,53.65,-115.58,50.0,75,49,8.05
310,Murdochville,CA,1538873734,48.96,-65.49,37.31,88,75,3.38
311,Macomer,IT,1538871600,40.26,8.77,59.0,92,100,2.24
312,Marsa Matruh,EG,1538870400,31.35,27.25,71.6,0,83,3.36
313,Gravdal,NO,1538871600,59.79,5.78,41.0,8,80,6.93
314,Hobyo,SO,1538873752,5.35,48.53,76.55,0,85,18.25
315,Peekskill,US,1538870940,41.29,-73.92,66.92,90,96,9.17
316,Honningsvag,NO,1538873765,70.98,25.97,38.75,92,100,14.0
317,Vanimo,PG,1538873768,-2.67,141.3,81.05,20,100,3.49
318,Magdalena,BO,1538873771,-13.26,-64.05,80.06,12,81,2.93
319,Luderitz,NA,1538873775,-26.65,15.16,60.08,32,86,6.73
320,Namibe,AO,1538873778,-15.19,12.15,67.46,88,100,8.08
321,Benito Juarez,MX,1538873781,28.64,-111.57,88.88,0,25,9.75
322,Krasne,UA,1538870400,49.91,24.61,46.4,0,93,5.39
323,Pokaran,IN,1538873788,26.93,71.92,68.18,0,44,2.15
324,San Andres,PH,1538873791,13.32,122.68,81.41,44,100,2.93
325,Pimentel,BR,1538873725,-3.7,-45.5,77.54,12,89,4.27
326,High Level,CA,1538870400,58.52,-117.13,28.4,90,68,3.38
327,Maamba,ZM,1538873801,-17.36,27.22,62.24,0,52,4.27
328,Alta Floresta,BR,1538873804,-9.87,-56.08,77.9,8,91,2.37
329,Salisbury,GB,1538870160,51.07,-1.8,46.4,0,81,17.22
330,Tanete,ID,1538873810,-3.94,119.78,83.57,76,69,7.18
331,San Cristobal,EC,1538870400,-0.39,-78.55,51.8,75,93,2.24
332,Winnemucca,US,1538870160,40.97,-117.74,55.04,90,54,19.46
333,Ambilobe,MG,1538873715,-13.19,49.05,62.15,8,84,2.71
334,Ambunti,PG,1538873710,-4.22,142.82,79.25,76,93,2.71
335,Oum Hadjer,TD,1538873826,13.3,19.7,73.22,8,69,2.71
336,Yar-Sale,RU,1538873829,66.83,70.83,44.42,92,100,9.98
337,Svetlaya,RU,1538873832,46.54,138.33,56.03,100,100,17.36
338,Narsaq,GL,1538869800,60.91,-46.05,33.8,24,64,9.17
339,Leningradskiy,RU,1538873839,69.38,178.42,36.59,92,96,10.87
340,Esna,RO,1538873842,45.2,27.57,46.31,0,91,3.6
341,Radishchevo,RU,1538873845,52.85,47.87,47.21,48,99,11.77
342,Ahipara,NZ,1538873697,-35.17,173.16,64.67,12,70,6.06
343,Maniitsoq,GL,1538873851,65.42,-52.9,31.1,0,88,10.76
344,Talnakh,RU,1538873854,69.49,88.39,46.49,48,82,14.45
345,Port Elizabeth,US,1538872140,39.31,-74.98,71.06,75,88,9.17
346,Baherden,TM,1538873861,38.44,57.43,43.79,0,97,2.04
347,Henties Bay,NA,1538873864,-22.12,14.28,59.63,24,95,5.73
348,Lishu,CN,1538873867,43.31,124.32,42.62,0,45,4.94
349,Vila Velha,BR,1538874000,-3.71,-38.6,80.6,40,74,13.87
350,Catalao,BR,1538873874,-18.17,-47.95,68.09,88,92,6.51
351,El Alto,BO,1538870400,-16.5,-68.19,44.6,75,75,6.93
352,Guerrero Negro,MX,1538873880,27.97,-114.04,71.78,0,75,12.1
353,Souillac,FR,1538872200,45.6,-0.6,55.4,90,93,18.34
354,Vostok,RU,1538873887,46.45,135.83,48.02,92,88,2.26
355,Port-Gentil,GA,1538873662,-0.72,8.78,77.72,76,98,6.62
356,Hay River,CA,1538870400,60.82,-115.79,32.0,75,56,6.93
357,Kourou,GF,1538872200,5.16,-52.64,77.0,0,100,10.09
358,Mumford,GH,1538873900,5.26,-0.76,75.2,24,95,4.61
359,Yangshe,CN,1538873903,31.89,120.61,67.28,64,89,8.75
360,San Luis,AR,1538873906,-33.3,-66.34,72.86,0,28,10.2
361,Xanten,DE,1538871900,51.66,6.45,59.0,90,93,11.41
362,Erzin,TR,1538871600,36.95,36.2,60.8,0,63,8.05
363,Cairns,AU,1538872200,-16.92,145.77,80.6,20,65,9.17
364,Dikson,RU,1538873771,73.51,80.55,37.04,20,100,12.55
365,Udachnyy,RU,1538873925,66.42,112.4,34.79,92,97,5.61
366,Hibbing,US,1538873100,47.43,-92.94,41.0,90,79,5.82
367,Victoria,BN,1538872200,5.28,115.24,86.0,75,74,4.7
368,Ciparay,ID,1538873935,-6.71,106.36,72.68,24,97,3.83
369,Tiksi,RU,1538873891,71.64,128.87,28.22,92,90,17.81
370,Malibu,US,1538872500,33.61,-84.48,79.34,1,76,4.72
371,Ilulissat,GL,1538869800,69.22,-51.1,30.2,8,63,2.24
372,Yangambi,CD,1538873951,0.77,24.47,71.69,24,100,3.15
373,Dunedin,NZ,1538873697,-45.87,170.5,49.28,88,82,11.99
374,Nizwa,OM,1538873957,22.93,57.53,64.22,0,47,4.5
375,Laiyang,CN,1538873960,36.98,120.7,62.78,80,42,5.84
376,Ketchikan,US,1538870160,55.34,-131.65,53.06,90,85,8.05
377,Sri Aman,MY,1538870400,1.24,111.46,77.0,75,94,2.82
378,Ozernovskiy,RU,1538873956,51.5,156.52,45.68,88,87,15.12
379,Ouidah,BJ,1538870400,6.37,2.09,80.6,40,88,8.05
380,Bilibino,RU,1538873982,68.06,166.44,31.28,80,84,2.93
381,Juba,EE,1538869800,57.82,26.93,51.8,36,87,6.73
382,Redmond,US,1538871300,47.67,-122.12,59.0,20,59,4.7
383,Potiskum,NG,1538873992,11.71,11.08,75.83,8,69,11.65
384,Jensen Beach,US,1538872500,27.25,-80.23,82.94,1,88,11.77
385,Hearst,CA,1538873839,49.69,-83.67,37.94,92,90,4.61
386,Usinsk,RU,1538873850,66.0,57.56,31.55,36,94,7.85
387,Hirara,JP,1538870400,24.8,125.28,80.6,40,88,10.29
388,Itarema,BR,1538874074,-2.92,-39.92,77.81,8,75,14.0
389,Thohoyandou,ZA,1538874078,-22.97,30.46,49.46,0,80,2.93
390,Kovur,IN,1538874020,14.5,79.99,68.9,0,89,3.04
391,Pontes e Lacerda,BR,1538874024,-15.23,-59.33,73.4,20,95,2.93
392,Dudinka,RU,1538874091,69.41,86.18,46.22,48,92,14.79
393,Tailai,CN,1538874031,46.39,123.41,43.79,0,52,8.75
394,Inhambane,MZ,1538874034,-23.87,35.38,65.93,0,100,10.2
395,Trairi,BR,1538874037,-3.28,-39.27,79.52,76,100,18.03
396,Maceio,BR,1538874000,-9.67,-35.74,71.6,20,88,2.24
397,Padang,ID,1538874053,-0.92,100.36,80.69,80,100,1.48
398,Talakan,RU,1538874056,50.29,130.28,42.8,32,93,3.83
399,Puli,TW,1538870400,23.97,120.97,73.4,40,78,8.05
400,Sisimiut,GL,1538874066,66.94,-53.67,18.5,64,100,1.59
401,Barinas,VE,1538874069,8.64,-70.23,79.43,24,86,2.71
402,Bugko,PH,1538874072,12.54,124.79,82.94,64,100,5.73
403,Campo Maior,ES,1538874076,39.01,-7.07,57.65,0,66,6.17
404,Grand Forks,US,1538873700,47.91,-97.06,35.96,90,15,5.82
405,Bonavista,CA,1538874083,48.65,-53.11,45.23,0,100,9.98
406,San Vicente,SV,1538873400,13.64,-88.78,75.2,40,94,3.36
407,Gondar,PT,1538872200,41.82,-8.78,53.6,0,81,10.29
408,Sumenep,ID,1538874093,-7.02,113.87,81.95,0,93,10.42
409,Monroe,US,1538873340,41.91,-83.4,71.96,40,96,6.93
410,Dwarka,IN,1538870400,28.58,77.04,69.8,0,88,2.71
411,Saint-Imier,CH,1538872200,47.15,7.0,55.4,20,66,11.41
412,Klyuchi,RU,1538874109,52.25,79.17,44.78,0,56,10.42
413,Konstantinovka,MD,1538874112,47.99,28.86,49.64,0,81,11.21
414,Seymchan,RU,1538874116,62.93,152.39,28.58,88,86,11.32
415,Beringovskiy,RU,1538874119,63.05,179.32,45.68,92,100,20.6
416,Bilma,NE,1538873902,18.69,12.92,69.8,0,24,3.38
417,Grindavik,IS,1538870400,63.84,-22.43,39.2,75,86,9.17
418,Beloha,MG,1538874131,-25.17,45.06,60.98,0,88,3.94
419,Koygorodok,RU,1538874135,60.44,51.01,38.12,92,100,6.4
420,Camacha,PT,1538872200,33.08,-16.33,71.6,40,83,10.29
421,Luba,PH,1538874141,17.32,120.7,76.46,8,77,3.71
422,Deer Lake,CA,1538870400,49.18,-57.43,33.8,75,86,2.24
423,Carauari,BR,1538874147,-4.88,-66.9,81.23,36,88,2.48
424,Mamallapuram,IN,1538872200,12.63,80.17,78.8,40,94,7.29
425,Srednekolymsk,RU,1538873909,67.46,153.71,31.19,92,86,6.62
426,Lokosovo,RU,1538874157,61.13,74.84,54.68,88,51,12.21
427,Srivardhan,IN,1538873896,18.03,73.02,73.22,0,96,3.15
428,Wajima,JP,1538870400,37.4,136.9,66.2,75,88,9.17
429,Edson,CA,1538870400,53.59,-116.44,50.0,75,43,2.24
430,Broome,GB,1538871600,52.47,1.45,48.2,20,76,6.93
431,Barao de Melgaco,BR,1538874000,-16.19,-55.97,78.8,0,88,6.93
432,Ayagoz,KZ,1538874106,47.96,80.43,33.35,0,73,2.82
433,Takoradi,GH,1538874182,4.89,-1.75,76.46,68,100,2.93
434,Miri,NG,1538874186,10.31,9.75,67.28,56,96,3.6
435,Sao Joao da Barra,BR,1538874189,-21.64,-41.05,70.43,92,100,17.02
436,Lancaster,US,1538873760,40.04,-76.31,71.96,90,84,4.7
437,Xinqing,CN,1538874195,48.28,129.53,44.69,0,77,3.15
438,Palauig,PH,1538874199,15.44,119.9,78.62,0,93,3.15
439,Houma,CN,1538874202,35.63,111.36,53.78,0,57,2.26
440,Puerto Escondido,MX,1538869500,15.86,-97.07,82.4,90,74,9.17
441,Salinopolis,BR,1538873980,-0.61,-47.36,81.32,92,95,14.56
442,Khingansk,RU,1538874211,49.12,131.18,42.89,100,100,3.71
443,Kencong,ID,1538874215,-7.78,112.24,72.95,12,84,5.95
444,Thinadhoo,MV,1538874218,0.53,72.93,82.94,88,100,21.05
445,Tigil,RU,1538874221,57.8,158.67,44.6,80,82,10.76
446,Camacupa,AO,1538874224,-12.02,17.48,64.4,48,81,4.94
447,Mareeba,AU,1538872200,-16.99,145.42,80.6,20,65,9.17
448,Kamogawa,JP,1538872200,35.13,140.08,86.0,20,58,18.34
449,Necochea,AR,1538873948,-38.55,-58.74,64.13,0,53,15.68
450,Sabang,PH,1538874237,13.72,123.58,81.23,56,97,3.04
451,Kieta,PG,1538874240,-6.22,155.63,82.04,48,97,5.95
452,Yakeshi,CN,1538874244,49.28,120.73,34.34,80,95,6.51
453,Iranshahr,IR,1538870400,27.21,60.69,77.0,0,23,4.7
454,Cochrane,CL,1538874253,-47.25,-72.57,43.43,92,80,1.59
455,Anloga,GH,1538870400,5.79,0.9,78.8,20,88,9.17
456,Oliveira do Hospital,PT,1538874259,40.36,-7.86,47.12,0,91,1.92
457,Fianarantsoa,MG,1538874266,-21.45,47.09,48.74,0,87,1.36
458,Vardo,US,1538873220,39.62,-77.74,71.96,90,94,4.72
459,Ilhabela,BR,1538874275,-23.78,-45.36,67.1,92,100,17.47
460,Springbok,ZA,1538874278,-29.67,17.88,57.02,0,46,1.7
461,Coolum Beach,AU,1538874281,-26.53,153.09,63.5,100,100,3.83
462,Ballina,IE,1538874285,54.11,-9.15,38.93,32,100,9.86
463,Lahaina,US,1538872500,20.87,-156.68,91.04,90,88,5.82
464,Palmares,BR,1538874056,-8.68,-35.59,69.62,64,93,4.38
465,Zermatt,CH,1538871600,46.02,7.75,53.6,0,71,2.24
466,Nazas,MX,1538874300,25.22,-104.11,61.34,92,96,3.71
467,Mitsamiouli,KM,1538874306,-11.38,43.28,76.73,12,100,12.33
468,Bay Roberts,CA,1538870400,47.58,-53.28,41.0,5,80,5.82
469,Kedgwick,CA,1538874313,47.65,-67.35,39.83,36,63,4.72
470,Sioux Lookout,CA,1538870400,50.1,-91.92,35.6,75,93,3.36
471,Toamasina,MG,1538870400,-18.17,49.38,68.0,75,94,2.15
472,Rock Springs,US,1538870040,41.59,-109.2,44.96,90,65,13.87
473,Tommot,RU,1538874335,58.97,126.27,28.85,92,77,9.98
474,Stromness,CA,1538873640,42.87,-79.55,73.04,90,81,11.41
475,Coquimbo,CL,1538870400,-29.95,-71.34,51.8,20,93,5.82
476,Tema,GH,1538870400,5.66,-0.01,78.8,20,88,6.93
477,Gao,ML,1538874351,16.28,-0.04,81.05,12,46,2.37
478,Modasa,IN,1538874354,23.47,73.3,74.21,12,71,3.38
479,Karratha,AU,1538874181,-20.74,116.85,77.45,0,33,11.99
480,Seminole,US,1538873700,32.72,-102.64,68.0,40,100,13.87
481,Haines Junction,CA,1538874335,60.75,-137.51,43.25,20,57,2.71
482,Mayumba,GA,1538874367,-3.44,10.65,75.83,80,98,5.39
483,Bojnurd,IR,1538870400,37.47,57.33,50.0,20,81,11.41
484,Rafai,CF,1538874373,4.95,23.92,70.25,88,99,2.71
485,Copperas Cove,US,1538873940,31.12,-97.9,80.6,1,81,6.93
486,Reutte,AT,1538871600,47.49,10.72,55.4,44,82,4.7
487,Pitimbu,BR,1538872080,-7.47,-34.81,75.2,75,94,10.29
488,Polyarnyy,RU,1538872200,69.2,33.45,30.2,75,86,6.71
489,Statesboro,US,1538872500,32.45,-81.78,80.6,40,82,5.95
490,Oistins,BB,1538870400,13.07,-59.53,80.6,40,78,16.11
491,San Patricio,PY,1538874398,-26.98,-56.83,63.41,48,81,3.38
492,Rawson,AR,1538874401,-43.3,-65.11,68.0,76,27,14.79
493,Esperance,TT,1538870400,10.24,-61.45,78.8,40,94,5.82
494,Paamiut,GL,1538874408,61.99,-49.67,39.65,68,94,22.95
495,Ariquemes,BR,1538874411,-9.91,-63.03,78.53,20,86,0.69
496,Japura,ID,1538874414,-0.42,102.29,75.2,88,88,2.04
497,Tabuk,PH,1538874418,17.41,121.44,69.98,88,96,0.92
498,Lefka,GR,1538871600,39.1,22.35,51.8,20,93,4.7
499,College,US,1538870280,64.86,-147.8,50.0,90,10,3.36
500,Villarrica,CL,1538874431,-39.28,-72.23,48.83,80,84,2.37
501,Synya,RU,1538874434,65.37,58.04,33.53,92,93,5.39
502,Vigrestad,NO,1538873400,58.57,5.7,42.8,40,81,4.7
503,Bandarbeyla,SO,1538874440,9.49,50.81,76.64,0,95,11.21
504,Whitehorse,CA,1538870400,60.72,-135.06,42.8,75,87,2.24
505,Qeshm,IR,1538870400,26.96,56.27,78.8,0,88,4.7
506,Umm Lajj,SA,1538874450,25.02,37.27,76.1,0,100,5.06
507,Pangkalanbuun,ID,1538874456,-2.68,111.62,73.49,92,100,4.5
508,Nantucket,US,1538872500,41.28,-70.1,60.08,90,72,5.82
509,Laguna,MX,1538869320,27.52,-110.01,89.6,5,40,5.82
510,Bulgan,MN,1538874466,48.81,103.53,22.73,0,79,6.51
511,Vasylivka,UA,1538870400,47.44,35.28,41.0,0,86,4.47
512,Verkhoyansk,RU,1538874475,67.55,133.39,24.8,68,77,5.06
513,Pasighat,IN,1538874478,28.06,95.33,66.65,88,63,1.7
514,Mitu,IR,1538874482,36.2,46.09,45.05,64,72,4.05
515,Bud,NO,1538873400,62.91,6.91,42.8,68,100,5.82
516,Strelka,RU,1538874488,58.08,93.03,40.55,0,91,6.73
517,Dzhebariki-Khaya,RU,1538874491,62.22,135.8,26.24,0,81,3.49
518,Sao Felix do Xingu,BR,1538874494,-6.64,-51.99,76.64,8,88,2.59
519,Cubuk,TR,1538871600,40.24,33.03,46.4,0,70,10.29
520,Saint Marys,US,1538873820,41.43,-78.56,68.0,20,100,3.36
521,Dicabisagan,PH,1538874510,17.08,122.42,77.0,68,100,3.38
522,Nadym,RU,1538874514,65.53,72.51,44.42,80,90,11.43
523,Maryborough,AU,1538874517,-25.54,152.7,68.27,36,82,2.71
524,Shizunai,JP,1538874413,42.33,142.37,58.1,100,99,13.67
525,Cururupu,BR,1538874524,-1.82,-44.87,80.6,64,75,8.41
526,Trat,TH,1538874000,12.25,102.51,80.6,40,94,4.7
527,Ulaanbaatar,MN,1538874000,47.92,106.92,30.2,75,86,6.71
528,Miami Lakes,US,1538870160,25.91,-80.31,82.94,1,72,8.05
529,Kamina,CD,1538874539,-8.74,25.0,69.53,44,79,5.17
530,Muisne,EC,1538874543,0.61,-80.02,75.47,0,80,3.71
531,Praya,ID,1538874000,-8.71,116.27,86.0,40,62,11.41
532,Flagstaff,US,1538872500,35.2,-111.65,62.6,90,51,18.34
533,Uvira,CD,1538874552,-3.41,29.14,59.09,20,100,3.27
534,Kununurra,AU,1538872200,-15.77,128.74,91.4,0,41,9.17
535,Vestmannaeyjar,IS,1538874324,63.44,-20.27,43.16,92,100,15.79
536,Caravelas,BR,1538874561,-17.73,-39.27,77.09,68,100,12.21
537,Aksarka,RU,1538874517,66.56,67.8,41.18,92,99,4.72
538,Qaqortoq,GL,1538873400,60.72,-46.03,32.0,68,95,4.7
539,Anstruther,GB,1538873400,56.22,-2.7,39.2,0,86,9.17
540,Emba,CY,1538874000,34.81,32.42,68.0,0,60,8.05
541,Road Town,VG,1538870400,18.42,-64.62,80.96,20,83,5.82
542,Impfondo,CD,1538874583,1.62,18.06,68.36,92,100,1.92
